date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:50:00	86845/86845	---M--	200	added ('OK')	image/png	etag:%221533d-63b72dd2be563%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/spar-logo-1024x512-1.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/spar-logo-1024x512-1.png	(from http://localhost/reftec.co.za/)
13:50:02	154180/154180	---M--	200	added ('OK')	image/jpeg	etag:%2225a44-63b6561d372a2%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/467973982_968085821810733_4217653164574340927_n-1.jpg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/467973982_968085821810733_4217653164574340927_n-1.jpg	(from http://localhost/reftec.co.za/)
13:50:03	65411/65411	---M--	200	added ('OK')	image/png	etag:%22ff83-63b72ddcc7a95%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/coke-logo-1024x512-1.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/coke-logo-1024x512-1.png	(from http://localhost/reftec.co.za/)
13:50:05	289508/289508	---MC-	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:49:16%20GMT	http://localhost/reftec.co.za/index.php/wp-json/	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/index.html	(from http://localhost/reftec.co.za/)
13:50:05	19569/19569	---M--	200	added ('OK')	image/png	etag:%224c71-63b72dfb4644d%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/woolworths-logo-1024x512-1.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/woolworths-logo-1024x512-1.png	(from http://localhost/reftec.co.za/)
13:50:06	25550/25550	---M--	200	added ('OK')	text/javascript	etag:%2263ce-63b64837c1469%22	http://localhost/reftec.co.za/wp-content/themes/astra/assets/js/minified/frontend.min.js?ver=4.11.8	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/themes/astra/assets/js/minified/frontend.min3167.js	(from http://localhost/reftec.co.za/)
13:50:06	4356/4356	---M--	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:50:05%20GMT	http://localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/126	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/126.json	(from http://localhost/reftec.co.za/index.php/our-services/)
13:50:07	2142/2142	---M--	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:50:06%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2Findex.php%2Four-services%2F	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embede140.json	(from http://localhost/reftec.co.za/index.php/our-services/)
13:50:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Aug%202025%2011:50:06%20GMT	http://localhost/reftec.co.za/?p=126	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index4ab3.html	(from http://localhost/reftec.co.za/index.php/our-services/)
13:50:07	2295/2295	---M--	200	added ('OK')	text/xml	date:Sun,%2003%20Aug%202025%2011:50:07%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2Findex.php%2Four-services%2F&format=xml	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed8601	(from http://localhost/reftec.co.za/index.php/our-services/)
13:50:09	2122/2122	---M--	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:50:08%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2Findex.php%2Fabout-us%2F	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embede714.json	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:09	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Aug%202025%2011:50:08%20GMT	http://localhost/reftec.co.za/?p=121	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/indexe856.html	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:10	12881/12881	---MC-	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:50:07%20GMT	http://localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/121	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/121.json	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:10	104961/104961	---M--	200	added ('OK')	image/png	etag:%2219a01-63b72e604c86d%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/pnp-logo-512x1024-2.png	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/pnp-logo-512x1024-2.png	(from http://localhost/reftec.co.za/)
13:50:10	2275/2275	---M--	200	added ('OK')	text/xml	date:Sun,%2003%20Aug%202025%2011:50:10%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2Findex.php%2Fabout-us%2F&format=xml	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed64e9	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:14	41334/41334	---M--	200	added ('OK')	image/jpeg	etag:%22a176-63b714d4da92f%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/127868033_104680878151236_7077878800981015787_n-1-485x1024.jpg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/127868033_104680878151236_7077878800981015787_n-1-485x1024.jpg	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:22	64285/64285	---M--	200	added ('OK')	image/jpeg	etag:%22fb1d-63b714d409fa4%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/191234430_211854480767208_1944405415016670509_n-1.jpg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/191234430_211854480767208_1944405415016670509_n-1.jpg	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:24	7919/7919	---M--	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:50:22%20GMT	http://localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/124	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/wp/v2/pages/124.json	(from http://localhost/reftec.co.za/index.php/contact-us/)
13:50:25	2132/2132	---M--	200	added ('OK')	application/json	date:Sun,%2003%20Aug%202025%2011:50:24%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2Findex.php%2Fcontact-us%2F	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed6f39.json	(from http://localhost/reftec.co.za/index.php/contact-us/)
13:50:26	96790/96790	---M--	200	added ('OK')	image/jpeg	etag:%2217a16-63b714d4d5c5c%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/138535842_129118005707523_8972648610027528103_n-1-1024x485.jpg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/138535842_129118005707523_8972648610027528103_n-1-1024x485.jpg	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Aug%202025%2011:50:26%20GMT	http://localhost/reftec.co.za/?p=124	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/indexd4a6.html	(from http://localhost/reftec.co.za/index.php/contact-us/)
13:50:27	2285/2285	---M--	200	added ('OK')	text/xml	date:Sun,%2003%20Aug%202025%2011:50:26%20GMT	http://localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Freftec.co.za%2Findex.php%2Fcontact-us%2F&format=xml	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/index.php/wp-json/oembed/1.0/embeda837	(from http://localhost/reftec.co.za/index.php/contact-us/)
13:50:29	107547/107547	---M--	200	added ('OK')	image/jpeg	etag:%221a41b-63b714d5f71bc%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/523947442_1138197128132934_1251778218458942840_n-1-1024x419.jpg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/523947442_1138197128132934_1251778218458942840_n-1-1024x419.jpg	(from http://localhost/reftec.co.za/index.php/about-us/)
13:50:29	132593/132593	---M--	200	added ('OK')	image/jpeg	etag:%22205f1-63b714d405ffc%22	http://localhost/reftec.co.za/wp-content/uploads/2025/08/467932284_968085975144051_5878983514511104249_n-1.jpg	C:/My%20Web%20Sites/Ref%20Tec/localhost/reftec.co.za/wp-content/uploads/2025/08/467932284_968085975144051_5878983514511104249_n-1.jpg	(from http://localhost/reftec.co.za/index.php/about-us/)
